City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
426,Prachuap Khiri Khan,TH,82.11,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
429,San Rafael Del Sur,NI,79.77,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
430,Wuchang,CN,74.43,overcast clouds,44.9143,127.15,杏花山
434,Buraydah,SA,79.25,clear sky,26.326,43.975,Mövenpick Qassim
435,Russell,US,73.0,clear sky,32.3502,-85.1999,Macs
437,Kaitong,CN,77.5,broken clouds,44.8135,123.15,Jinhe Fashion Hotel
438,Tual,ID,83.75,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
439,Pathalgaon,IN,94.55,clear sky,22.5667,83.4667,Queens Park Marriage Garden
442,Kandrian,PG,78.49,light rain,-6.2167,149.55,Kandrian Station
443,Xifeng,CN,79.84,broken clouds,42.7372,124.7222,Home Inn Hotel
451,Mackay,AU,80.69,clear sky,-21.15,149.2,International Lodge Motel
453,Awjilah,LY,80.91,clear sky,29.1081,21.2869,المنزل
455,Dali,CN,72.05,scattered clouds,25.7,100.1833,Dali Travelling With Hostel
456,Pochutla,MX,78.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
458,Celestun,MX,80.65,overcast clouds,20.8667,-90.4,Posada Lilia
461,Baculin,PH,84.9,light rain,7.4525,126.5842,Baculin Cove Beach Resort
462,Matara,LK,80.67,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
463,Bama,NG,81.7,overcast clouds,11.5221,13.6856,UN Humanitarian Hub
468,Mawlamyine,MM,77.85,moderate rain,16.4914,97.6256,Sandalwood Hotel
469,El Tigre,VE,78.4,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
471,Innisfail,AU,76.19,few clouds,-17.5333,146.0333,Moondarra Motel
473,Pangai,TO,82.51,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
474,Eyl,SO,79.66,scattered clouds,7.9803,49.8164,Amiin Hotel
475,Juneau,US,71.6,few clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
476,Sao Filipe,CV,72.45,few clouds,14.8961,-24.4956,Hotel Xaguate
477,Grand Gaube,MU,72.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
480,Jalu,LY,80.89,clear sky,29.0331,21.5482,صاحبة الفخامة
481,Cortez,US,79.56,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
482,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
483,Lincoln,US,73.31,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
484,Prainha,BR,72.63,scattered clouds,-1.8,-53.48,Casa Rocha
485,Autazes,BR,77.85,overcast clouds,-3.5797,-59.1306,Hotel Tupinambá
489,Bani,DO,71.04,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
492,Denpasar,ID,83.86,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
495,Hami,CN,84.2,broken clouds,42.8,93.45,Laoyutang Resort
498,Champerico,GT,78.48,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
501,Sitges,ES,75.0,clear sky,41.2351,1.8119,URH Sitges Playa
502,Kutum,SD,71.06,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
505,Nelson Bay,AU,72.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
507,Laguna,US,76.98,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
509,Axim,GH,78.58,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
516,Boffa,GN,74.5,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
517,Nanakuli,US,82.35,overcast clouds,21.3906,-158.1547,Camp Pālehua
524,Kirakira,SB,82.47,scattered clouds,-10.4544,161.9205,SanBiz Lodge
526,Umarkot,PK,86.72,few clouds,25.3616,69.7362,Al-Qamar Boys Hostel
527,Camocim,BR,75.36,few clouds,-2.9022,-40.8411,Ilha Praia Hotel
528,Bairiki,KI,87.8,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
535,Casablanca,MA,73.33,broken clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
537,Zaysan,KZ,80.51,clear sky,47.4667,84.8667,Ерлан үй
539,Tieli,CN,73.47,broken clouds,46.95,128.05,Dynasty Hotel
542,Marsh Harbour,BS,78.69,clear sky,26.5412,-77.0636,Abaco Beach Resort
543,Altamira,BR,72.03,scattered clouds,-3.2033,-52.2064,Requinte Hotel
544,Kimbe,PG,85.14,light rain,-5.5502,150.1429,Kimbe Bay Hotel
547,Charlestown,AU,73.69,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
548,Hervey Bay,AU,76.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
550,Daru,PG,82.69,scattered clouds,-9.0763,143.2092,Daru Lodge
551,Pahrump,US,91.45,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
553,Yulara,AU,71.44,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
555,Avenal,US,80.37,broken clouds,36.0041,-120.129,Lodge House Inn The
563,Indramayu,ID,81.88,scattered clouds,-6.3264,108.32,Grand Trisula Hotel
565,Jizan,SA,83.34,clear sky,17.3333,42.6667,شهدان. ابوالحجر
566,Tabuk,PH,87.01,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
567,Manokwari,ID,83.88,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
568,Laureles,US,82.11,few clouds,26.1092,-97.4941,Los Fresnos Inn
574,Bardiyah,LY,73.62,clear sky,31.7561,25.0865,بورتو بردية
575,Kavaratti,IN,82.6,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
576,Kwinana,AU,71.19,clear sky,-32.25,115.7667,Rockingham Apartments
580,Praya,CV,72.14,few clouds,14.9215,-23.5087,LT Aparthotel
586,La Gomera,GT,75.49,overcast clouds,14.0833,-91.05,Cede.E.T.V
588,Chake Chake,TZ,74.88,moderate rain,-5.2459,39.7666,Hotel Archipelago
591,Dahegam,IN,87.57,few clouds,23.1667,72.8167,OYO 3231 Malhaar Resort
592,Cabatuan,PH,85.59,light rain,10.8794,122.486,MVC Transient Room
596,Gat,IL,74.39,broken clouds,31.61,34.7642,OlusHome
597,Maumere,ID,84.09,clear sky,-8.6199,122.2111,Sylvia Hotel
600,Lamont,US,84.47,overcast clouds,35.2597,-118.9143,Buena Vista Mobile Home Park
601,Pitimbu,BR,73.99,light rain,-7.4706,-34.8086,Reserva do Abiaí
603,Simao,CN,79.21,few clouds,22.7886,100.9748,Changyu Hotel
605,Asyut,EG,75.38,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
608,Barabai,ID,88.66,broken clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
609,Atar,MR,80.8,light rain,20.5169,-13.0499,Oumou Elghoura
610,Shache,CN,81.57,overcast clouds,38.4167,77.2406,Delong Hotel
611,Gombe,NG,76.87,scattered clouds,10.2897,11.1673,Custodian Hotel Gombe
614,Mao,ES,70.36,clear sky,39.8885,4.2658,ARTIEM Capri
616,Santa Rosalia,MX,80.02,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
617,Ayorou,NE,89.49,clear sky,14.7308,0.9174,Hotel Amenokal
619,Kundiawa,PG,77.0,broken clouds,-6.0167,144.9667,Pari
622,Mitsamiouli,KM,78.28,few clouds,-11.3847,43.2844,Foyer ADM
625,Topchikha,RU,70.29,broken clouds,52.8192,83.1185,Gostinitsa
629,Miri,MY,86.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
631,Porto Walter,BR,71.44,few clouds,-8.2686,-72.7439,Secretaria de saúde
632,Zhuhai,CN,91.85,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
633,Karachi,PK,84.02,smoke,24.9056,67.0822,Sadaat
636,Ardakan,IR,71.74,clear sky,32.31,54.0175,Ardakan Hotel
637,Novo Aripuana,BR,74.55,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
641,Doha,QA,89.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
643,Barra,BR,74.1,broken clouds,-11.0894,-43.1417,Motel Albatroz
648,Raposa,BR,70.11,few clouds,-6.5167,-44.1833,Pousada Alvorada
654,Huilong,CN,70.97,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
655,Amarillo,US,85.78,clear sky,35.222,-101.8313,Microtel Inn & Suites by Wyndham Amarillo
656,Road Town,VG,80.64,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
657,Birnin Kebbi,NG,84.81,clear sky,12.4539,4.1975,Saffar Guest Inn Ltd
659,Kenai,US,74.03,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
661,Weligama,LK,80.65,overcast clouds,5.9667,80.4167,Weligama Bay Resort
662,Sanchor,IN,87.51,few clouds,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
665,Padang,ID,77.05,moderate rain,-0.9492,100.3543,Mercure Padang
668,Labuan,MY,84.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
671,Muisne,EC,75.04,moderate rain,0.6,-80.0333,Quinta Samay
677,Luganville,VU,82.69,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
678,Khash,IR,74.44,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
680,Yeppoon,AU,78.58,few clouds,-23.1333,150.7333,Villa Mar Colina
682,Lucea,JM,78.66,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
683,Flinders,AU,70.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
687,Koumac,NC,80.19,scattered clouds,-20.5667,164.2833,Le Monitel
690,Pekan,MY,84.31,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
691,Shasta Lake,US,75.92,overcast clouds,40.6804,-122.3708,Shasta Dam Motel
697,Gushi,CN,84.96,overcast clouds,34.6425,109.5843,Wansheng Yuan Hotel
698,Tezu,IN,83.98,overcast clouds,27.9167,96.1667,Circuit House
699,Cabo San Lucas,MX,85.3,clear sky,22.8909,-109.9124,Vista Roof Restaurant
